"year","fl_reg","month","RS_catch","RS_harvest","RS_Discard","RS_weight"
"2016","1","7",345395.486432871,97047.6853466538,248347.801086039,214609.246495319
"2016","1","8",123877.959962088,0,123877.959962088,0
"2016","1","9",238441.571057348,102290.296580684,136151.274476082,179462.886355904
"2016","2","1",0,0,0,0
"2016","2","10",5205.996449554,0,5205.996449554,0
"2016","2","11",7512.949519704,0,7512.949519704,0
"2016","2","12",464138.814698474,0,464138.814698474,0
"2016","2","2",0,0,0,0
"2016","2","3",420.467798595,0,420.467798595,0
"2016","2","4",16822.384092671,0,16822.384092671,0
"2016","2","5",28118.845984695,0,28118.845984695,0
"2016","2","6",77567.4982280105,25727.315585297,51840.18264233,46128.685787977
"2016","2","7",22852.7055089686,47.1243893966328,22805.581119572,56.9713341957681
"2016","2","8",3983.51529422,0,3983.51529422,0
"2016","2","9",157062.393391574,8662.00653865789,148400.386852662,23225.7295811664
"2017","1","1",9586.26950614,0,9586.26950614,0
"2017","1","10",155918.497189867,0,155918.497189867,0
"2017","1","11",63055.40695909,0,63055.40695909,0
"2017","1","12",52823.34012605,0,52823.34012605,0
"2017","1","2",78345.50126023,0,78345.50126023,0
"2017","1","3",18942.279186341,676.82500806,18265.454178281,1556.697518538
"2017","1","4",302035.171222711,17059.3830676,284975.788155111,64356.522622521
"2017","1","5",916647.398189917,199419.136963028,717228.261227648,456283.590940154
"2017","1","6",2917764.92239061,783118.577147403,2134646.34524237,2016623.63621594
"2017","1","7",952273.058118007,285436.227281406,666836.830836911,519294.275671666
"2017","1","8",460893.512174876,98651.688789701,362241.823386194,186376.904440554
"2017","1","9",498948.760556824,33620.9033128636,465327.857243937,112600.687606874
"2017","2","1",113545.013189022,0,113545.013189022,0
"2017","2","10",2188.888499238,0,2188.888499238,0
"2017","2","11",4830.335932906,0,4830.335932906,0
"2017","2","12",74252.11085729,0,74252.11085729,0
"2017","2","2",48992.1390401582,62.5796334521793,48929.559406706,25.0318533734044
"2017","2","3",6557.047326721,0,6557.047326721,0
"2017","2","4",9979.7670091229,0,9979.7670091229,0
"2017","2","5",8963.479802923,0,8963.479802923,0
"2017","2","6",66702.6290934027,30395.954251881,36306.674841521,51279.6076776285
"2017","2","7",108112.280792238,39213.5905676215,68898.690224617,80340.073767162
"2017","2","8",39886.9193523132,25855.3900593412,14031.529292972,47024.9713758785
"2017","2","9",4023.87274088887,1312.45343188887,2711.419309,2099.92549096927
"2018","1","1",1895.8355926,0,1895.8355926,0
"2018","1","10",4897.784045202,0,4897.784045202,0
"2018","1","11",14781.45663058,0,14781.45663058,0
"2018","1","12",44844.59020225,0,44844.59020225,0
"2018","1","2",45052.9532832,0,45052.9532832,0
"2018","1","3",473544.101948509,0,473544.101948509,0
"2018","1","4",59482.55324031,0,59482.55324031,0
"2018","1","5",181624.603632039,311.25485613,181313.348775909,323.7050503752
"2018","1","6",2033493.38819098,675661.900795691,1357831.48739965,1457291.16055564
"2018","1","7",1097750.56260556,353500.306848068,744250.255755272,729677.283695199
"2018","1","8",135280.538521076,9180.673834,126099.864687076,19830.25548144
"2018","1","9",262386.970042972,0,262386.970042972,0
"2018","2","1",1587.4820755,0,1587.4820755,0
"2018","2","10",9944.51090228,0,9944.51090228,0
"2018","2","11",26082.700181227,0,26082.700181227,0
"2018","2","12",5691.863259796,0,5691.863259796,0
"2018","2","2",0,0,0,0
"2018","2","3",11461.926266614,0,11461.926266614,0
"2018","2","4",14104.77668236,0,14104.77668236,0
"2018","2","5",48778.0512985,0,48778.0512985,0
"2018","2","6",313763.899403305,89420.5791068304,224343.320295398,220755.510186287
"2018","2","7",48831.3138199866,30850.7361027396,17980.577717247,71853.7342933024
"2018","2","8",124369.625970846,0,124369.625970846,0
"2018","2","9",221653.62498696,0,221653.62498696,0
"2019","1","1",0,0,0,0
"2019","1","10",488461.926546776,211430.3533487,277031.573198076,433348.072923102
"2019","1","11",22370.4287952967,3500.79272590866,18869.636069388,7383.82344619672
"2019","1","12",130839.23880754,0,130839.23880754,0
"2019","1","2",25362.20889516,0,25362.20889516,0
"2019","1","3",64217.4606579644,0,64217.4606579644,0
"2019","1","4",206109.745287945,0,206109.745287945,0
"2019","1","5",418256.971449002,1021.18908098154,417235.78236802,1470.51227660099
"2019","1","6",1115390.13084545,489827.103308626,625563.027536867,1272616.964505
"2019","1","7",1201710.17472113,365063.840002926,836646.334719212,716045.929522272
"2019","1","8",1018723.54358895,752.06698291,1017971.47660604,1865.1261176168
"2019","1","9",36476.359494882,0,36476.359494882,0
"2019","2","1",7053.628191,0,7053.628191,0
"2019","2","10",119.116676726,0,119.116676726,0
"2019","2","11",54612.20422779,0,54612.20422779,0
"2019","2","12",6011.62576503,0,6011.62576503,0
"2019","2","2",35231.976961374,0,35231.976961374,0
"2019","2","3",3803.41721378,0,3803.41721378,0
"2019","2","4",82584.067525694,0,82584.067525694,0
"2019","2","5",295.17226265,0,295.17226265,0
"2019","2","6",282476.753817701,108859.782792483,173616.971024502,257539.003716406
"2019","2","7",29175.0411796377,15390.8089761457,13784.232203492,30751.1414087574
"2019","2","8",6346.487420916,0,6346.487420916,0
"2019","2","9",36461.9857664,0,36461.9857664,0
"2020","1","1",0,0,0,0
"2020","1","10",43086.2820118268,19401.1424087898,23685.139603037,35389.8771154751
"2020","1","11",445146.212381118,134709.281833455,310436.9305484,280384.657675821
"2020","1","12",9378.878292796,0,9378.878292796,0
"2020","1","2",219.0629248,0,219.0629248,0
"2020","1","3",144054.952549806,0,144054.952549806,0
"2020","1","4",95186.1197114288,0,95186.1197114288,0
"2020","1","5",228243.802469187,0,228243.802469187,0
"2020","1","6",972873.656401428,428301.181965085,544572.474437794,1020173.70645634
"2020","1","7",1061421.82825959,261429.400975355,799992.427283555,555763.688103064
"2020","1","8",60580.596218212,4617.58003818201,55963.01618003,10470.3627364801
"2020","1","9",142963.450673326,0,142963.450673326,0
"2020","2","1",0,0,0,0
"2020","2","10",53993.3043040707,15795.7830765707,38197.5212275,26854.1740318371
"2020","2","11",1447.98690153,0,1447.98690153,0
"2020","2","12",6216.254543,0,6216.254543,0
"2020","2","2",189.47312059,0,189.47312059,0
"2020","2","3",77241.82243753,0,77241.82243753,0
"2020","2","4",37973.7635034456,0,37973.7635034456,0
"2020","2","5",28480.5102041,0,28480.5102041,0
"2020","2","6",47768.2562642198,31687.9016079198,16080.3546563,97813.3647773671
"2020","2","7",12933.164838946,6968.58227538602,5964.58256356,14588.1493573246
