"year","fl_reg","month","RG_catch","RG_harvest","RG_Discard","RG_weight"
"2013","2","11",361540.152925627,81689.3815480051,279850.771375496,249175.730897605
"2013","2","12",363450.197316462,79621.5410731791,283828.656243979,226879.708058997
"2013","2","2",211907.127810999,0,211907.127810999,0
"2013","2","3",82376.88583957,0,82376.88583957,0
"2013","2","4",123074.563178,36302.4468725,86772.1163055,88865.3059343456
"2013","2","5",329483.94395247,61431.5524296193,268052.39152328,163946.288243634
"2013","2","6",748541.896728154,88919.0843856589,659622.81234265,253792.156822645
"2013","2","7",1329236.76521009,208756.482319278,1120480.28289066,574889.243568974
"2013","2","8",1204865.72334118,107071.640442553,1097794.0828991,275015.064560347
"2013","2","9",319672.698219012,36999.0567405569,282673.641477591,104441.454071654
"2014","1","1",0,0,0,0
"2014","1","10",0,0,0,0
"2014","1","11",0,0,0,0
"2014","1","12",0,0,0,0
"2014","1","2",0,0,0,0
"2014","1","3",35.9511148547663,35.9511148547663,0,82.6875641695125
"2014","1","4",314.828449865394,314.828449865394,0,1148.36522587898
"2014","1","5",14955.5768589749,13780.6394706749,1174.9373883,38682.4314684967
"2014","1","6",17124.8348583003,12852.4970031583,4272.337855142,41537.6362873366
"2014","1","7",8294.69114255186,8294.69114255186,0,30668.0170517957
"2014","1","8",0,0,0,0
"2014","1","9",0,0,0,0
"2014","2","1",47431.1589211047,4106.54355854592,43324.615362242,8364.20460220391
"2014","2","10",164346.286187185,5537.18048097608,158809.105706094,17287.6525597983
"2014","2","11",371391.140242504,6566.96089926945,364824.179343235,14296.3416131555
"2014","2","12",385268.938048079,2588.23108743122,382680.706960275,9216.86464265952
"2014","2","2",135189.271778182,18069.2518368558,117120.019941326,59417.6053740131
"2014","2","3",183650.938670786,20040.4758557974,163610.462814299,67610.1473652328
"2014","2","4",591213.138957931,151735.263681249,439477.87527695,508539.839200219
"2014","2","5",277705.067836112,13830.9970301213,263874.070806332,36833.8007304234
"2014","2","6",806931.88853852,123608.006850157,683323.881688105,356136.047050447
"2014","2","7",1272301.49843775,304680.105668306,967621.392770358,863631.719310605
"2014","2","8",970201.561804824,149968.036209188,820233.52559685,479431.059451952
"2014","2","9",145064.274998142,22016.389571702,123047.885426461,65632.2451714179
"2015","1","1",0,0,0,0
"2015","1","10",2640.62452228438,2640.62452228438,0,12741.4957368171
"2015","1","11",0,0,0,0
"2015","1","12",0,0,0,0
"2015","1","2",0,0,0,0
"2015","1","3",9232.19462212032,6813.06549407032,2419.12912805,30190.0642167867
"2015","1","4",1137.04459170495,1137.04459170495,0,4110.91536483778
"2015","1","5",15022.6814588778,4428.47717619775,10594.20428268,25041.9844130164
"2015","1","6",10358.2964933999,6579.31493206893,3778.981561331,29041.3450718502
"2015","1","7",15308.8119246887,9696.90959135367,5611.902333335,37964.8467486854
"2015","1","8",22584.7367769036,22222.2982748736,362.43850203,61938.2951059846
"2015","1","9",2692.75570248,0,2692.75570248,0
"2015","2","1",251314.636945974,40715.5950902607,210599.041855713,131948.303860036
"2015","2","10",168978.748959964,4904.72810365998,164074.020856329,15078.3341000208
"2015","2","11",290635.263753472,44.4530851677508,290590.810668304,111.132712917789
"2015","2","12",116885.92758092,894.49962699,115991.42795393,2343.5890227138
"2015","2","2",79369.088003546,65841.9563323492,13527.131671255,241055.05986063
"2015","2","3",293246.588097069,21374.310456154,271872.2776411,69025.7120485114
"2015","2","4",168331.501429813,21487.0961226541,146844.405307122,68828.1993712956
"2015","2","5",280866.659392134,45588.8000985453,235277.859293784,140706.347376904
"2015","2","6",400860.085283739,101761.277757047,299098.807526825,313630.701158657
"2015","2","7",384015.384846493,80167.8433474366,303847.54149907,243556.02373478
"2015","2","8",418905.441444829,64486.5725267002,354418.868918398,197269.953542075
"2015","2","9",228789.783774414,31517.4304555366,197272.353319073,91881.2532416562
"2016","1","1",0,0,0,0
"2016","1","10",1774.94863053382,450.57688252382,1324.37174801,1768.6665136528
"2016","1","11",0,0,0,0
"2016","1","12",0,0,0,0
"2016","1","2",61.8351358325614,61.8351358325614,0,134.800596104657
"2016","1","3",0,0,0,0
"2016","1","4",0,0,0,0
"2016","1","5",4225.3699995899,3034.8742364899,1190.4957631,10413.0111598718
"2016","1","6",23586.8763908696,13647.3805384996,9939.49585237,63850.5992708154
"2016","1","7",3659.1334580944,1349.51723989441,2309.6162182,8474.96826702174
"2016","1","8",9256.27544688767,8198.05289587767,1058.22255101,25698.6666794736
"2016","1","9",1098.69440332346,575.880751033464,522.81365229,1940.45654361527
"2016","2","1",404013.888977289,84398.3635836908,319615.525393598,301746.248134307
"2016","2","10",59499.1362596818,2145.48816912779,57353.648090554,7639.39018581918
"2016","2","11",112554.93110794,13327.1413570121,99227.789750937,45811.4301747999
"2016","2","12",208861.381056765,17877.5863274582,190983.794728634,44496.5950447267
"2016","2","2",13731.7638415642,71.7140020642202,13660.0498395,195.062085606877
"2016","2","3",171636.65853649,23123.1486530297,148513.509882963,59796.2123101168
"2016","2","4",143680.941151286,25860.2532131507,117820.68793816,90800.1661592263
"2016","2","5",516541.702519888,43500.770719493,473040.931801049,112236.981419486
"2016","2","6",342001.287927559,52580.2538906706,289421.034036892,153999.205851648
"2016","2","7",436823.009412961,51324.4962322137,385498.513179808,155786.534364531
"2016","2","8",62954.1628192403,7787.37487958455,55166.787939616,25800.4073497466
"2016","2","9",161655.039908756,50119.790199438,111535.249709283,117995.826316402
"2017","1","1",0,0,0,0
"2017","1","10",4662.291268428,0,4662.291268428,0
"2017","1","11",3481.259947,0,3481.259947,0
